user_id,recency,frequency,monetary
96656,682,1,3.99
99879,2293,1,3.99
28219,1102,1,4.0
58518,1703,1,4.01
96648,21,1,4.01
85795,1183,1,19.03
22416,1429,1,173.0
81258,44,1,100.08
36670,256,1,63.09
81147,431,1,86.11
81900,230,1,4.11
6123,169,1,104.2
27689,479,1,69.21
30373,71,1,4.21
58114,141,1,4.21
38801,395,1,105.67
50652,579,1,4.38
59054,1277,1,40.23
50658,223,1,4.58
88984,1748,1,4.58
17152,1529,1,4.63
80848,461,1,4.63
48152,717,1,4.68
95740,1290,1,4.73
98598,494,1,4.73
39627,1839,1,61.69
35396,526,1,32.8
64218,30,1,4.85
40540,566,1,4.88
52182,384,1,4.88
55768,2029,1,149.88
83516,666,1,4.88
94895,695,1,4.88
7944,113,1,4.89
1375,689,1,4.95
18354,481,1,49.95
30562,1859,1,73.95
40238,213,1,89.94
60663,899,1,111.94
61330,187,1,4.95
66327,201,1,4.95
19734,383,1,148.92
55348,6,1,58.97
8171,347,1,19.99
13829,48,1,61.89
16635,199,1,4.99
20671,464,1,182.99
31268,984,1,4.99
46739,84,1,4.99
47276,722,1,4.99
48160,283,1,4.99
51774,1001,1,98.99
62976,518,1,59.44
65113,92,1,38.99
74920,633,1,4.99
94122,435,1,64.49
97440,298,1,76.93
72808,19,1,5.0
73115,32,1,173.0
76256,180,1,51.99
46910,1592,1,5.09
62660,504,1,5.2
77229,0,1,86.19
5112,429,1,152.3
7388,1418,1,5.29
66577,240,1,142.37
36527,2079,1,5.33
55243,637,1,5.33
5067,6,1,5.37
33912,162,1,5.37
79560,13,1,5.37
90287,322,1,5.37
93302,408,1,5.37
22379,348,1,55.48
43551,1977,1,17.04
63370,1657,1,5.49
81280,136,1,304.48
84886,259,1,52.44
18845,258,1,31.68
24259,670,1,67.5
29985,537,1,94.64
49637,274,1,5.5
97124,621,1,44.49
11471,921,1,5.55
28237,1693,1,96.55
3732,87,1,5.59
69472,365,1,107.08
57839,1028,1,5.6
67151,1299,1,84.6
89884,928,1,37.79
88494,719,1,70.29
62081,1816,1,45.73
6606,777,1,5.83
83891,3,1,37.8
43825,750,1,5.87
13875,1858,1,295.52
46074,538,1,48.85
77880,545,1,5.9
90744,1693,1,5.9
90797,1009,1,153.2
61899,405,1,51.43
5039,131,1,5.95
8492,415,1,64.95
18133,1571,1,5.95
18848,948,1,5.95
20372,914,1,97.88
20512,1224,1,5.95
23626,168,1,291.95
26982,292,1,190.95
34279,885,1,5.95
40805,243,1,5.95
48908,90,1,5.95
50581,34,1,5.95
77306,43,1,32.93
80869,1474,1,5.95
84966,8,1,5.95
87145,563,1,5.95
92706,423,1,61.95
2110,248,1,147.71
4947,988,1,5.98
67874,558,1,25.93
67895,607,1,88.48
2530,569,1,126.88
3552,462,1,5.99
8589,27,1,30.99
14459,447,1,67.49
16058,897,1,17.19
26364,660,1,530.99
27211,90,1,5.99
27307,203,1,115.97
27927,34,1,43.99
30948,77,1,28.21
33461,1252,1,5.99
36413,311,1,5.99
38439,620,1,45.49
39925,23,1,5.99
41711,690,1,25.94
42268,1135,1,18.55
48812,120,1,37.94
49877,789,1,33.99
50957,876,1,5.99
55689,804,1,5.99
55837,271,1,115.99
63594,845,1,5.99
68669,283,1,260.9
70778,2145,1,5.99
72028,442,1,5.99
73804,525,1,5.99
74441,1219,1,5.99
80359,77,1,520.12
81773,153,1,5.99
88546,39,1,5.99
89011,562,1,5.99
91317,79,1,5.99
94143,1833,1,205.98
95080,342,1,33.99
96717,217,1,5.99
97927,578,1,188.73
99599,1256,1,35.98
6198,2,1,6.0
10040,1850,1,6.0
14213,300,1,6.0
16562,1988,1,6.0
17101,13,1,107.5
36534,606,1,162.79
51675,78,1,205.0
56346,343,1,6.0
62786,1111,1,6.0
81310,180,1,6.0
83852,1344,1,121.62
89538,398,1,6.0
96258,345,1,52.99
99839,209,1,6.0
22848,1531,1,127.02
35870,25,1,6.07
83558,63,1,207.96
91218,1603,1,6.08
18657,150,1,6.18
14148,30,1,6.25
26921,-1,1,98.65
74607,1968,1,6.25
86782,1624,1,95.25
96106,1136,1,6.29
64431,616,1,6.33
81017,714,1,146.34
27105,613,1,46.35
77334,1992,1,6.37
34441,246,1,94.89
43533,90,1,6.39
71519,817,1,6.39
55872,2268,1,285.92
66012,26,1,6.41
93945,851,1,31.41
16371,23,1,238.94
18646,572,1,6.49
2518,841,1,117.38
3650,842,1,50.49
4373,840,1,154.5
8924,89,1,6.5
13852,1507,1,6.5
26826,934,1,26.5
27889,181,1,6.5
29030,1349,1,6.5
33038,322,1,6.5
37344,999,1,6.5
43474,762,1,30.49
45205,900,1,6.5
46065,31,1,17.55
95833,152,1,6.5
5269,2291,1,71.57
45260,857,1,68.93
14381,48,1,6.59
28541,49,1,21.58
63936,204,1,6.61
72714,801,1,24.84
19211,2130,1,6.68
58039,6,1,6.68
87431,531,1,6.68
89807,337,1,31.67
10767,10,1,15.97
77914,91,1,301.21
3689,1129,1,66.02
11307,197,1,71.73
25372,17,1,6.74
6278,234,1,6.75
74005,529,1,255.74
56995,254,1,46.26
82755,96,1,6.78
91038,2134,1,82.82
8218,131,1,6.85
10922,22,1,598.46
12674,409,1,56.84
61080,179,1,6.9
71572,490,1,6.9
14857,1661,1,6.91
24107,90,1,44.41
27708,1386,1,6.92
48925,353,1,149.12
51805,364,1,48.92
98505,83,1,6.92
42810,292,1,6.93
57415,190,1,45.83
15377,330,1,6.94
21060,-1,1,177.72
93164,897,1,15.39
98817,534,1,6.94
7109,492,1,108.39
9940,320,1,6.95
10149,149,1,6.95
16176,-2,1,145.62
31716,211,1,38.94
43901,205,1,154.08
57237,208,1,56.03
67626,465,1,6.95
71885,1112,1,54.14
71976,286,1,6.95
80159,1719,1,6.95
87934,73,1,6.95
88467,66,1,6.95
6883,1333,1,6.97
59838,1027,1,18.96
64188,568,1,126.96
93040,838,1,6.97
99510,752,1,6.97
40541,976,1,33.13
57054,1297,1,69.54
78086,1176,1,30.47
966,56,1,6.99
1107,1212,1,42.98
2521,316,1,34.99
2723,2170,1,6.99
3200,131,1,6.99
3254,1812,1,6.99
3977,815,1,6.99
5140,1290,1,6.99
5425,2091,1,6.99
11468,194,1,15.7
14340,1218,1,6.99
16338,396,1,46.49
18078,81,1,33.34
18254,548,1,6.99
20835,257,1,359.97
29266,72,1,6.99
29497,500,1,17.49
32260,69,1,46.98
32578,524,1,6.99
33117,492,1,134.97
33349,1676,1,6.99
34624,242,1,20.96
37271,7,1,31.99
39992,1,1,6.99
41888,37,1,36.97
45639,428,1,39.88
47176,237,1,6.99
50281,135,1,101.97
51632,1405,1,6.99
53157,1747,1,6.99
54186,1219,1,6.99
55415,197,1,6.99
55987,1218,1,6.99
56990,107,1,114.81
58601,131,1,50.73
61267,579,1,74.74
61845,586,1,27.99
64270,367,1,163.54
64439,854,1,6.99
64642,138,1,6.99
65152,647,1,58.97
65245,151,1,6.99
66864,1214,1,6.99
69270,1542,1,6.99
69629,586,1,6.99
73238,300,1,128.99
73648,251,1,6.99
74313,125,1,257.99
74918,420,1,6.99
77031,18,1,6.99
78802,1477,1,6.99
80504,2159,1,29.89
81526,109,1,66.39
84304,47,1,6.99
87152,837,1,285.26
87360,97,1,111.97
87399,1145,1,6.99
87944,706,1,75.79
89191,1319,1,6.99
93358,1189,1,50.98
95356,432,1,320.99
95508,281,1,6.99
97482,172,1,24.98
359,118,1,7.0
5732,149,1,91.53
9484,68,1,7.0
16281,682,1,7.0
20005,367,1,45.99
27801,58,1,7.0
41824,176,1,26.65
43922,25,1,98.4
48201,139,1,26.08
57039,316,1,35.99
58116,505,1,21.0
59350,336,1,7.0
59803,838,1,7.0
60074,141,1,7.0
66465,1189,1,7.0
72267,903,1,76.95
75342,1639,1,7.0
80647,500,1,7.0
82287,697,1,1051.99
83693,88,1,7.0
84276,14,1,151.0
87151,18,1,43.99
93729,1952,1,164.93
94065,750,1,7.0
21639,1095,1,7.01
28087,47,1,7.02
62684,62,1,7.02
99173,75,1,7.02
22805,308,1,7.08
38503,1487,1,7.08
97558,1592,1,7.11
4416,163,1,7.16
20225,88,1,7.16
52030,2447,1,260.72
52201,291,1,7.16
36399,607,1,53.2
65317,61,1,7.2
66278,447,1,60.7
67054,1017,1,44.68
97290,17,1,92.2
44714,502,1,259.35
50508,139,1,45.28
96337,7,1,159.03
99590,1,1,7.29
23348,61,1,55.32
148,392,1,7.44
36198,272,1,7.45
6262,143,1,33.5
8160,1632,1,7.5
13117,55,1,196.44
14709,964,1,7.5
72369,981,1,625.5
95483,603,1,96.28
95862,413,1,7.5
97029,1184,1,22.49
46299,127,1,7.52
50751,1853,1,7.52
86129,651,1,18.66
20937,939,1,7.56
29010,477,1,7.56
38361,384,1,7.56
40181,1309,1,7.56
63976,11,1,7.61
19774,947,1,42.67
22617,-2,1,37.18
72072,1162,1,7.68
33213,361,1,202.12
39741,184,1,7.69
43728,179,1,62.26
99373,160,1,60.63
94718,873,1,7.75
11584,1299,1,7.81
2025,347,1,7.85
47582,8,1,7.87
89953,295,1,98.77
8286,751,1,7.9
40988,235,1,7.9
51457,156,1,123.47
70044,1036,1,7.9
82208,343,1,7.9
49915,540,1,144.9
61867,538,1,209.67
87177,12,1,7.92
9522,506,1,7.95
10439,1541,1,7.95
14657,455,1,7.95
20220,1,1,7.95
21129,-2,1,47.93
21433,167,1,7.95
24289,188,1,45.94
25301,348,1,142.95
27766,185,1,185.95
27960,1636,1,66.95
28994,18,1,106.95
36202,1192,1,35.95
47472,64,1,7.95
54030,134,1,7.95
56040,458,1,7.95
64024,46,1,32.94
82270,123,1,7.95
82888,170,1,7.95
83788,1038,1,7.95
95164,529,1,7.95
26347,655,1,7.96
5670,255,1,7.97
67086,177,1,159.05
9166,631,1,24.97
18364,2258,1,7.98
20389,1248,1,7.98
57320,550,1,16.87
58032,1377,1,7.98
66964,228,1,157.98
68917,85,1,218.97
87269,2037,1,56.97
56,68,1,63.87
4346,244,1,7.99
7014,885,1,176.26
7104,141,1,73.04
8211,466,1,7.99
8535,1473,1,7.99
9123,352,1,7.99
14302,739,1,25.99
15672,100,1,29.74
19974,134,1,7.99
22997,287,1,97.99
23366,260,1,37.98
25522,778,1,81.49
25963,17,1,135.99
26788,1977,1,25.09
26908,101,1,70.92
30042,429,1,135.51
30332,406,1,32.99
30339,709,1,7.99
30722,1794,1,103.98
32443,416,1,7.99
33855,1306,1,27.98
39308,132,1,19.35
39890,825,1,52.98
40022,723,1,7.99
42063,2341,1,7.99
42571,307,1,37.98
42835,274,1,7.99
43263,587,1,47.94
43556,383,1,7.99
46371,3,1,205.48
47945,90,1,7.99
49153,539,1,153.89
50100,5,1,17.26
50595,381,1,7.99
52268,64,1,52.92
52960,25,1,73.43
54011,721,1,7.99
55219,110,1,43.25
58011,843,1,7.99
59439,43,1,7.99
59487,518,1,17.98
59654,961,1,7.99
59736,529,1,93.92
60034,255,1,116.18
60516,45,1,36.99
61404,942,1,85.44
64339,210,1,7.99
65131,235,1,7.99
66708,860,1,7.99
68157,666,1,7.99
71884,1474,1,89.86
73377,129,1,27.98
76349,64,1,105.99
76604,35,1,85.39
76890,606,1,47.99
77892,201,1,7.99
78684,221,1,7.99
81128,1516,1,181.99
81340,79,1,70.87
81914,13,1,107.98
82481,69,1,7.99
82553,483,1,7.99
82957,500,1,7.99
83297,1253,1,7.99
84452,351,1,7.99
87501,2263,1,54.69
89154,843,1,41.59
90046,798,1,16.38
90636,481,1,7.99
93469,1,1,7.99
94491,1036,1,7.99
95755,639,1,7.99
99431,23,1,66.73
99741,638,1,7.99
99847,807,1,52.49
2504,1869,1,8.0
7514,619,1,8.0
9326,1158,1,8.0
12450,1929,1,106.0
14451,1500,1,32.99
16458,1696,1,8.0
17211,212,1,45.49
21120,959,1,8.0
22039,439,1,8.0
22888,1,1,168.8
23817,895,1,165.31
29778,2418,1,8.0
30413,104,1,8.0
32915,11,1,8.0
33069,57,1,8.0
33429,78,1,130.99
41765,23,1,107.44
42684,209,1,8.0
43930,675,1,8.0
44740,2108,1,8.0
46614,133,1,8.0
48033,183,1,8.0
48244,912,1,8.0
49299,100,1,27.84
50454,1099,1,8.0
53838,59,1,174.6
53860,683,1,8.0
58857,1525,1,532.97
63020,1093,1,8.0
65227,864,1,8.0
66155,1,1,8.0
66815,417,1,66.88
69413,1359,1,8.0
70550,79,1,8.0
72538,563,1,157.98
74145,1043,1,8.0
75179,380,1,8.0
78035,221,1,36.43
78106,178,1,8.0
79605,2336,1,8.0
79902,839,1,8.0
81022,157,1,8.0
81991,290,1,76.18
83984,1637,1,32.08
86973,786,1,70.44
90927,3,1,8.0
91230,1,1,8.0
96888,199,1,196.92
4179,242,1,8.01
1369,838,1,8.04
31681,130,1,8.1
68712,49,1,176.92
85356,1,1,74.42
688,781,1,46.24
70469,332,1,33.27
88913,441,1,70.01
92198,223,1,8.27
22448,489,1,8.28
56514,1699,1,68.28
95441,1591,1,8.28
81256,268,1,8.3
40737,1364,1,8.32
45800,1945,1,8.32
2313,14,1,19.34
78903,348,1,8.35
88064,1246,1,8.35
15250,775,1,32.37
31300,28,1,138.37
69579,1606,1,8.37
99681,273,1,58.82
23650,2,1,53.37
25084,1546,1,8.38
29955,317,1,104.59
77890,673,1,306.38
44151,716,1,88.38
92416,36,1,8.39
69393,333,1,118.4
5252,935,1,8.43
29521,1616,1,179.45
34550,244,1,8.45
38250,259,1,8.45
48612,276,1,8.45
68645,1570,1,87.4
17084,205,1,8.47
49353,526,1,19.44
53613,2,1,8.47
92739,644,1,8.47
29387,988,1,8.49
529,43,1,8.5
2816,593,1,8.5
4584,1221,1,8.5
7417,187,1,61.4
31973,29,1,150.44
45093,667,1,8.5
61375,1499,1,8.5
63963,383,1,8.5
73957,51,1,50.5
75765,283,1,162.44
76844,133,1,8.5
79986,1566,1,211.49
90146,64,1,138.66
92588,586,1,8.5
92994,33,1,34.49
95428,2581,1,77.58
47242,1024,1,168.5
57500,36,1,148.55
11508,787,1,8.57
14014,260,1,8.57
16406,1134,1,64.49
95184,1656,1,8.6
54110,459,1,250.61
97981,757,1,8.61
2546,12,1,8.63
37406,131,1,8.63
35700,226,1,8.64
58680,169,1,103.08
67725,726,1,103.64
75586,918,1,79.62
17523,1293,1,8.65
31986,69,1,8.65
40711,595,1,8.65
71691,3,1,8.66
58119,494,1,8.67
68691,934,1,8.67
8180,1372,1,8.69
45329,36,1,56.69
53548,1333,1,78.69
16576,703,1,48.78
7767,1110,1,8.71
20229,31,1,8.71
70085,494,1,71.4
17708,436,1,206.71
29374,752,1,64.61
82774,755,1,240.22
10137,1650,1,85.2
30031,32,1,8.74
63574,271,1,8.74
67393,877,1,8.74
95741,640,1,8.74
98259,796,1,8.74
56465,1239,1,502.05
91475,804,1,8.75
58908,506,1,21.76
76169,37,1,44.76
96188,451,1,8.76
27325,269,1,267.35
76007,310,1,128.27
12842,700,1,18.78
78004,474,1,8.79
94808,235,1,132.42
2925,555,1,8.82
73911,860,1,8.82
25233,697,1,8.83
32531,26,1,8.83
34429,382,1,137.83
61977,77,1,8.83
80580,17,1,8.83
31987,441,1,61.83
57530,683,1,48.84
69639,5,1,8.84
75858,216,1,8.84
92092,409,1,47.4
27132,1123,1,22.22
44639,195,1,23.85
45383,340,1,266.37
81102,456,1,8.87
93613,975,1,50.24
5210,86,1,8.88
5731,189,1,58.83
29317,673,1,8.88
58212,517,1,8.88
84094,1330,1,8.88
63353,657,1,8.89
67868,193,1,8.89
859,34,1,107.89
3941,1365,1,83.9
9401,234,1,48.4
24045,39,1,8.9
47530,335,1,124.2
51197,1949,1,112.84
74694,361,1,78.85
90403,414,1,8.9
15123,120,1,76.92
30436,1037,1,129.91
81641,221,1,8.92
2170,62,1,8.94
26585,751,1,8.94
32909,303,1,8.94
48464,329,1,8.94
57322,395,1,8.94
83286,1697,1,8.94
96483,1348,1,8.94
1433,816,1,82.93
4945,2012,1,148.95
9383,11,1,8.95
11247,379,1,18.95
13131,37,1,8.95
17188,2050,1,63.94
22703,442,1,8.95
26547,424,1,42.93
26786,1166,1,8.95
27698,215,1,8.95
38825,499,1,8.95
42989,746,1,236.94
51664,735,1,8.95
56163,7,1,8.95
57740,372,1,8.95
59628,865,1,8.95
73254,103,1,267.53
82942,460,1,28.94
83355,70,1,8.95
84729,580,1,46.95
89106,266,1,43.65
93154,521,1,8.95
97075,106,1,30.94
98324,11,1,8.95
98461,1180,1,116.85
99463,1368,1,8.95
368,436,1,8.96
52469,1106,1,116.99
66589,347,1,8.96
70596,42,1,8.96
19038,143,1,197.97
22955,1011,1,86.97
63718,864,1,8.97
97153,921,1,800.1
312,12,1,8.98
3604,320,1,8.98
3686,893,1,66.98
4289,577,1,8.98
6440,68,1,100.97
7669,668,1,87.98
10646,65,1,8.98
18956,1,1,57.98
24137,474,1,132.92
28495,17,1,8.98
32990,377,1,44.97
39678,619,1,8.98
47921,854,1,8.98
48574,35,1,245.99
58389,1557,1,8.98
58555,226,1,26.98
61877,859,1,8.98
61956,83,1,8.98
63126,253,1,346.97
68772,841,1,314.98
79377,1174,1,36.0
79946,19,1,8.98
80178,317,1,60.98
82675,1048,1,53.48
94499,812,1,64.51
98031,786,1,76.98
2751,871,1,36.93
2899,7,1,8.99
3135,1021,1,22.99
6050,1304,1,167.99
9443,416,1,21.73
11532,448,1,8.99
13035,233,1,38.99
14842,470,1,233.99
15090,636,1,20.39
18148,747,1,8.99
20305,137,1,38.89
20558,747,1,8.99
22299,477,1,8.99
23442,551,1,151.73
25748,101,1,38.26
26204,360,1,59.94
26797,21,1,8.99
26844,1073,1,8.99
27112,367,1,36.95
28053,676,1,70.17
29361,61,1,8.99
30259,66,1,8.99
30275,332,1,8.99
31372,272,1,193.98
34299,-2,1,101.97
38859,2338,1,156.99
41086,212,1,8.99
41476,209,1,33.98
41691,355,1,45.95
42970,1048,1,41.98
44083,517,1,8.99
45898,34,1,8.99
46214,248,1,42.73
48103,1140,1,8.99
48106,1032,1,8.99
48493,224,1,8.99
49736,241,1,8.99
50002,223,1,8.99
50129,33,1,33.98
50632,39,1,8.99
50706,230,1,8.99
50739,449,1,113.96
51643,2338,1,8.99
53886,404,1,8.99
55813,819,1,8.99
56347,66,1,8.99
56407,137,1,8.99
56528,28,1,8.99
58347,51,1,140.93
60797,1755,1,8.99
60924,17,1,8.99
61478,45,1,24.89
61542,86,1,8.99
61548,62,1,108.99
62892,1495,1,8.99
65589,2150,1,8.99
67551,1600,1,368.32
70042,71,1,8.99
75082,82,1,122.61
75530,327,1,8.99
76064,1429,1,8.99
76127,0,1,17.99
76313,1476,1,21.42
76442,393,1,63.98
78554,78,1,106.99
78775,271,1,153.49
78983,152,1,8.99
80617,660,1,625.98
82174,286,1,111.99
84031,1064,1,8.99
84867,251,1,8.99
88819,63,1,200.37
89776,-1,1,292.99
90104,583,1,8.99
90238,881,1,143.98
91786,1059,1,8.99
92470,1498,1,8.99
93346,767,1,33.99
93961,1250,1,259.49
93967,1081,1,122.89
3822,502,1,79.0
5451,733,1,9.0
5900,714,1,64.0
13000,600,1,9.0
15606,1963,1,116.6
15971,359,1,118.9
16312,440,1,105.2
18336,433,1,9.0
18411,250,1,9.0
21800,2137,1,9.0
27717,99,1,9.0
28100,182,1,67.0
31035,431,1,168.0
39222,16,1,133.32
48623,1142,1,27.0
54831,532,1,9.0
57307,12,1,9.0
58570,63,1,168.0
59253,18,1,9.0
60223,861,1,244.36
61162,819,1,167.0
62110,79,1,9.0
64100,1238,1,186.0
64720,27,1,126.2
66508,1564,1,270.12
68389,2,1,9.0
71857,222,1,9.0
75438,333,1,9.0
76112,2,1,9.0
78410,166,1,9.0
80009,29,1,257.93
81557,1619,1,163.49
82402,143,1,38.5
83269,1910,1,103.22
86003,104,1,108.0
88432,1222,1,9.0
89234,1369,1,81.23
91412,275,1,93.58
92320,1917,1,48.0
92640,237,1,9.0
93654,925,1,9.0
96365,1104,1,122.95
11758,172,1,9.01
40867,355,1,173.07
46645,317,1,9.01
59718,421,1,9.01
82179,320,1,9.01
97340,1536,1,9.01
1154,17,1,87.02
27721,9,1,21.02
11097,1828,1,80.04
12293,988,1,9.04
50565,102,1,9.04
23689,67,1,45.05
32685,1325,1,9.05
54194,569,1,9.05
77790,354,1,235.95
23671,633,1,80.89
6597,366,1,9.11
14229,1526,1,150.11
96359,237,1,9.11
9792,1392,1,9.12
38649,1625,1,78.12
41114,2313,1,113.12
59049,558,1,177.22
62452,379,1,9.12
76932,205,1,45.52
92359,150,1,31.12
94907,692,1,9.12
25396,38,1,114.11
25953,1559,1,9.16
44431,1519,1,9.16
69880,1438,1,9.16
11440,286,1,119.61
3063,475,1,9.19
5132,19,1,58.19
22007,1,1,9.19
40236,1120,1,79.69
62695,267,1,9.19
88340,328,1,41.19
94900,147,1,79.19
21587,1769,1,9.2
49837,253,1,9.2
73530,1158,1,9.24
38140,9,1,89.24
40776,3,1,9.26
66050,1045,1,30.25
72536,1785,1,9.26
32931,2086,1,453.25
62653,196,1,68.8
72138,177,1,133.27
73245,2271,1,71.26
78607,137,1,36.17
79553,470,1,9.27
86325,811,1,63.27
5571,216,1,9.29
8507,433,1,9.29
35207,916,1,9.31
49156,299,1,9.31
13282,722,1,124.98
27404,896,1,119.26
43386,29,1,9.33
23822,732,1,9.35
29308,191,1,135.84
29699,742,1,134.35
80354,40,1,9.35
7114,775,1,217.34
35008,552,1,9.36
60178,235,1,69.31
9424,456,1,24.01
29464,518,1,9.38
43016,37,1,394.38
53694,172,1,9.38
60131,108,1,9.38
67448,274,1,98.27
81469,69,1,9.38
90549,315,1,9.38
94435,1254,1,9.38
66118,255,1,9.39
80061,483,1,9.4
57273,74,1,418.33
38885,1048,1,9.44
39065,1612,1,9.44
65771,344,1,9.44
9054,1032,1,9.45
21886,1400,1,44.42
91247,188,1,9.45
23418,72,1,25.22
44686,17,1,123.97
53095,44,1,109.46
71285,702,1,84.48
5923,724,1,26.39
27422,98,1,672.48
44043,390,1,34.49
49853,456,1,24.48
56137,382,1,9.49
61523,-3,1,281.99
68955,804,1,29.48
73336,947,1,9.49
86327,1,1,78.99
89257,483,1,9.49
5107,262,1,26.49
7020,508,1,64.45
11412,1074,1,9.5
11640,110,1,9.5
12543,410,1,157.5
13338,745,1,9.5
21682,331,1,24.19
25424,422,1,88.5
28762,1035,1,9.5
35373,-2,1,365.49
42071,897,1,9.5
56885,304,1,9.5
61198,735,1,87.5
61905,-2,1,110.48
61914,1530,1,9.5
63929,398,1,144.33
70033,642,1,9.5
84956,200,1,237.07
86902,120,1,184.5
92715,501,1,72.5
97921,1123,1,9.5
90507,944,1,66.75
19372,113,1,95.53
49520,1478,1,49.54
56928,297,1,9.54
9738,2206,1,9.55
28093,963,1,9.55
85149,937,1,9.55
493,1691,1,9.56
4134,96,1,9.56
40647,77,1,72.06
45200,2138,1,34.55
17614,4,1,187.63
30368,583,1,9.57
81004,874,1,9.57
18683,34,1,9.58
63941,422,1,9.58
67327,73,1,9.58
77262,1610,1,78.64
91665,1450,1,91.52
12028,142,1,21.58
53056,320,1,142.58
61324,348,1,79.58
76459,330,1,9.59
81902,803,1,295.54
82614,1195,1,9.59
8804,41,1,9.61
39484,70,1,9.61
2668,678,1,9.63
34738,681,1,42.62
35093,11,1,9.63
86654,330,1,9.64
7205,826,1,27.65
13713,27,1,90.63
18484,1084,1,9.66
27261,596,1,42.11
69015,1184,1,9.66
77240,1048,1,9.66
98916,1461,1,9.66
35738,164,1,9.67
58759,1748,1,109.47
79556,939,1,129.66
43549,1326,1,83.68
91739,18,1,9.68
6558,794,1,31.69
22561,296,1,47.7
57760,553,1,9.7
83123,184,1,9.7
2809,1262,1,77.72
48805,306,1,9.72
7028,147,1,290.4
22114,1,1,9.75
40653,702,1,9.75
49968,135,1,34.75
75585,2049,1,9.75
88602,78,1,29.7
53065,414,1,9.76
68773,942,1,9.76
14416,682,1,84.49
24475,177,1,9.77
37685,597,1,79.26
58960,37,1,148.27
71817,202,1,9.77
95215,1126,1,9.77
95383,1514,1,230.25
25935,93,1,9.78
45947,780,1,9.78
14610,1518,1,49.74
64788,1232,1,181.79
75957,626,1,361.28
42329,148,1,9.8
45027,1012,1,9.8
57919,284,1,132.13
89335,542,1,34.8
97352,306,1,22.91
20174,212,1,9.81
27783,184,1,24.8
28846,439,1,9.81
42430,23,1,51.81
69009,513,1,9.82
42170,202,1,77.55
73562,1304,1,9.83
68864,384,1,9.84
56314,1175,1,9.85
56491,3,1,9.85
96356,809,1,64.84
12444,1263,1,25.77
73092,79,1,69.37
87809,992,1,9.87
58697,75,1,9.88
78784,352,1,210.69
4859,1355,1,9.9
5096,665,1,9.9
8971,-2,1,169.0
35205,82,1,9.9
38309,483,1,114.04
39361,1663,1,9.9
46387,270,1,49.4
52557,609,1,9.9
